STOP_ID,STOP_NAME,LATITUDE,LONGITUDE,TICKETZONE,ROUTEUSSP
19967,Anstey Railway Station (Brunswick),-37.76124200,144.96068400,1,Upfield
19968,Brunswick Railway Station (Brunswick),-37.76772100,144.95958700,1,Upfield
19969,Jewell Railway Station (Brunswick),-37.77498700,144.95871700,1,Upfield
19970,Royal Park Railway Station (Parkville),-37.78119300,144.95230100,1,Upfield
19971,Flemington Bridge Railway Station (North Melbourne),-37.78814000,144.93932300,1,Upfield
19972,Macaulay Railway Station (North Melbourne),-37.79426700,144.93616600,1,Upfield
19973,North Melbourne Railway Station (West Melbourne),-37.80741900,144.94257000,1,"Sunbury,Upfield,Werribee,Williamstown,Craigieburn"
19974,Clifton Hill Railway Station (Clifton Hill),-37.78865700,144.99541700,1,"Mernda,Hurstbridge"
19975,Victoria Park Railway Station (Abbotsford),-37.79915800,144.99445100,1,"Mernda,Hurstbridge"
19976,Collingwood Railway Station (Abbotsford),-37.80452600,144.99375000,1,"Mernda,Hurstbridge"
19977,North Richmond Railway Station (Richmond),-37.81039800,144.99250000,1,"Mernda,Hurstbridge"
19978,West Richmond Railway Station (Richmond),-37.81494900,144.99142300,1,"Mernda,Hurstbridge"
19979,Jolimont-MCG Railway Station (East Melbourne),-37.81652700,144.98409800,1,"Mernda,Hurstbridge"
19983,Macleod Railway Station (Macleod),-37.72601200,145.06914300,2,Hurstbridge
19984,Watsonia Railway Station (Watsonia),-37.71095800,145.08379300,2,Hurstbridge
19985,Greensborough Railway Station (Greensborough),-37.70395400,145.10824700,2,Hurstbridge
19986,Montmorency Railway Station (Montmorency),-37.71529600,145.12151600,2,Hurstbridge
19987,Eltham Railway Station (Eltham),-37.71355000,145.14782200,2,Hurstbridge
19988,Diamond Creek Railway Station (Diamond Creek),-37.67329700,145.15850600,2,Hurstbridge
19989,Wattle Glen Railway Station (Wattle Glen),-37.66396800,145.18161500,2,Hurstbridge
19990,Hurstbridge Railway Station (Hurstbridge),-37.63939800,145.19201700,2,Hurstbridge
19991,Williamstown Railway Station (Williamstown),-37.86775300,144.90532300,1,Williamstown
19992,Williamstown Beach Railway Station (Williamstown),-37.86398200,144.89448400,1,Williamstown
19993,North Williamstown Railway Station (Williamstown),-37.85733300,144.88906900,1,Williamstown
19994,Newport Railway Station (Newport),-37.84271800,144.88360000,1,"Williamstown,Werribee"
19995,Spotswood Railway Station (Spotswood),-37.83063900,144.88593300,1,"Williamstown,Werribee"
19996,Yarraville Railway Station (Yarraville),-37.81585000,144.88993400,1,"Williamstown,Werribee"
19997,Seddon Railway Station (Seddon),-37.80900500,144.89567200,1,"Williamstown,Werribee"
20000,Watergardens Railway Station (Sydenham),-37.70112900,144.77418000,2,Sunbury
20001,Keilor Plains Railway Station (St Albans),-37.72927900,144.79373800,2,Sunbury
20002,St Albans Railway Station (St Albans),-37.74486100,144.80005000,2,Sunbury
20003,Ginifer Railway Station (St Albans),-37.76006700,144.81134800,2,Sunbury
20004,Albion Railway Station (Sunshine North),-37.77765300,144.82470400,"1,2",Sunbury
20005,Epping Railway Station (Epping),-37.65218700,145.03106800,2,Mernda
20006,Lalor Railway Station (Lalor),-37.66585100,145.01719300,2,Mernda
20007,Thomastown Railway Station (Thomastown),-37.68033800,145.01427900,2,Mernda
20008,Keon Park Railway Station (Thomastown),-37.69487000,145.01188400,2,Mernda
20009,Ruthven Railway Station (Reservoir),-37.70789800,145.00951700,2,Mernda
20010,Reservoir Railway Station (Reservoir),-37.71688500,145.00699600,"1,2",Mernda
20011,Regent Railway Station (Reservoir),-37.72840300,145.00277300,"1,2",Mernda
20012,Preston Railway Station (Preston),-37.73867400,145.00052200,"1,2",Mernda
20013,Bell Railway Station (Preston),-37.74556200,145.00015500,1,Mernda
20014,Thornbury Railway Station (Thornbury),-37.75505200,144.99857200,1,Mernda
20015,Croxton Railway Station (Northcote),-37.76410100,144.99705600,1,Mernda
20016,Northcote Railway Station (Northcote),-37.76986500,144.99527700,1,Mernda
20017,Merri Railway Station (Northcote),-37.77784700,144.99297200,1,Mernda
20019,Rushall Railway Station (Fitzroy North),-37.78321700,144.99240700,1,Mernda
20021,Sunshine Railway Station (Sunshine),-37.78853600,144.83287800,"1,2",Sunbury
20022,Tottenham Railway Station (West Footscray),-37.79925100,144.86294500,1,Sunbury
20023,West Footscray Railway Station (West Footscray),-37.80180300,144.88398500,1,Sunbury
20024,Middle Footscray Railway Station (Footscray),-37.80250500,144.89147200,1,Sunbury
20025,Footscray Railway Station (Footscray),-37.80108300,144.90319900,1,"Werribee,Williamstown,Sunbury"
20026,South Kensington Railway Station (Kensington),-37.79953100,144.92546900,1,"Williamstown,Werribee"
20027,Flemington Racecourse Railway Station (Flemington),-37.78720200,144.90758900,1,Sunbury
20030,Broadmeadows Railway Station (Broadmeadows),-37.68304900,144.91961300,2,Craigieburn
20031,Jacana Railway Station (Glenroy),-37.69513100,144.91585100,2,Craigieburn
20032,Glenroy Railway Station (Glenroy),-37.70453600,144.91722000,"1,2",Craigieburn
20033,Oak Park Railway Station (Oak Park),-37.71795000,144.92151900,"1,2",Craigieburn
20034,Pascoe Vale Railway Station (Pascoe Vale),-37.73075600,144.92819600,"1,2",Craigieburn
20035,Strathmore Railway Station (Strathmore),-37.74359100,144.92731600,1,Craigieburn
20036,Glenbervie Railway Station (Essendon),-37.74721000,144.92093900,1,Craigieburn
20037,Essendon Railway Station (Essendon),-37.75601200,144.91619800,1,Craigieburn
20038,Moonee Ponds Railway Station (Moonee Ponds),-37.76570700,144.91916100,1,Craigieburn
20039,Ascot Vale Railway Station (Ascot Vale),-37.77530600,144.92182100,1,Craigieburn
20040,Newmarket Railway Station (Flemington),-37.78732800,144.92897800,1,Craigieburn
20041,Kensington Railway Station (Kensington),-37.79378000,144.93052400,1,Craigieburn
20042,Box Hill Railway Station (Box Hill),-37.81922200,145.12142900,2,"Lilydale,Belgrave"
22180,Southern Cross Railway Station (Melbourne City),-37.81793600,144.95141100,1,"Belgrave,Craigieburn,Cranbourne,Frankston,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sandringham,Sunbury,Upfield,Werribee,Williamstown,Alamein"
40220,Roxburgh Park Railway Station (Roxburgh Park),-37.63823100,144.93540400,2,Craigieburn
40221,Craigieburn Railway Station (Craigieburn),-37.60181700,144.94332000,2,Craigieburn
44817,Coolaroo Railway Station (Coolaroo),-37.66100300,144.92605600,2,Craigieburn
45793,Lynbrook Railway Station (Lynbrook),-38.05734100,145.24927500,2,Cranbourne
45794,Cardinia Road Railway Station (Pakenham),-38.07129000,145.43779100,2,Pakenham
45795,South Morang Railway Station (South Morang),-37.64915900,145.06703200,2,Mernda
46468,Williams Landing Railway Station (Williams Landing),-37.86986500,144.74744500,2,Werribee
52095,Southland Railway Station (Cheltenham),-37.95875600,145.04912100,2,Frankston
52159,Middle Gorge Railway Station (South Morang),-37.64406100,145.09214400,2,Mernda
52160,Hawkstowe Railway Station (South Morang),-37.62299500,145.09739600,2,Mernda
52161,Mernda Railway Station (Mernda),-37.60254800,145.10088500,2,Mernda
15351,Sunbury Railway Station (Sunbury),-37.57909100,144.72731900,2,Sunbury
15353,Diggers Rest Railway Station (Diggers Rest),-37.62701700,144.71992200,2,Sunbury
19827,Stony Point Railway Station (Crib Point),-38.37423500,145.22183700,2,Stony Point
