listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
41836,16/12/2020,f,$40.00,$40.00,7,1125
47100,15/12/2020,f,$100.00,$100.00,5,1125
47100,16/12/2020,f,$100.00,$100.00,5,1125
47100,17/12/2020,f,$100.00,$100.00,5,1125
47100,18/12/2020,f,$100.00,$100.00,5,1125
47100,19/12/2020,f,$100.00,$100.00,5,1125
47100,20/12/2020,f,$100.00,$100.00,5,1125
47100,21/12/2020,f,$100.00,$100.00,5,1125
47100,22/12/2020,f,$100.00,$100.00,5,1125
47100,23/12/2020,f,$100.00,$100.00,5,1125
47100,24/12/2020,f,$100.00,$100.00,5,1125
47100,25/12/2020,f,$100.00,$100.00,5,1125
47100,26/12/2020,f,$101.00,$101.00,5,1125
47100,27/12/2020,f,$100.00,$100.00,5,1125
47100,28/12/2020,f,$100.00,$100.00,5,1125
47100,29/12/2020,f,$100.00,$100.00,5,1125
47100,30/12/2020,f,$100.00,$100.00,5,1125
47100,31/12/2020,f,$104.00,$104.00,5,1125
43429,15/12/2020,f,$99.00,$99.00,,
43429,16/12/2020,f,$99.00,$99.00,2,365
43429,17/12/2020,f,$99.00,$99.00,2,365
43429,18/12/2020,f,$99.00,$99.00,2,365
43429,19/12/2020,f,$99.00,$99.00,2,365
43429,20/12/2020,f,$99.00,$99.00,2,365
43429,21/12/2020,f,$99.00,$99.00,2,365
43429,22/12/2020,f,$99.00,$99.00,2,365
43429,23/12/2020,f,$99.00,$99.00,2,365
43429,24/12/2020,f,$99.00,$99.00,2,365
43429,25/12/2020,f,$99.00,$99.00,2,365
43429,26/12/2020,f,$99.00,$99.00,2,365
43429,27/12/2020,f,$99.00,$99.00,2,365
43429,28/12/2020,f,$99.00,$99.00,2,365
43429,29/12/2020,f,$99.00,$99.00,2,365
43429,30/12/2020,f,$99.00,$99.00,2,365
43429,31/12/2020,f,$99.00,$99.00,2,365
41836,17/12/2020,f,$40.00,$40.00,7,1125
41836,18/12/2020,f,$40.00,$40.00,7,1125
41836,19/12/2020,f,$40.00,$40.00,7,1125
41836,20/12/2020,f,$40.00,$40.00,7,1125
41836,21/12/2020,f,$40.00,$40.00,7,1125
41836,22/12/2020,f,$41.00,$41.00,7,1125
41836,23/12/2020,f,$40.00,$40.00,7,1125
41836,24/12/2020,f,$41.00,$41.00,7,1125
41836,25/12/2020,f,$40.00,$40.00,7,1125
41836,26/12/2020,f,$42.00,$42.00,7,1125
41836,27/12/2020,f,$42.00,$42.00,7,1125
41836,28/12/2020,f,$43.00,$43.00,7,1125
41836,29/12/2020,f,$40.00,$40.00,7,1125
41836,30/12/2020,f,$41.00,$41.00,7,1125
41836,31/12/2020,f,$40.00,$40.00,7,1125
66754,15/12/2020,f,$94.00,$94.00,,
51592,15/12/2020,f,$219.00,$219.00,2,1125
51592,16/12/2020,f,$219.00,$219.00,2,1125
51592,17/12/2020,t,$219.00,$219.00,2,1125
51592,18/12/2020,f,$229.00,$229.00,2,1125
51592,19/12/2020,f,$249.00,$249.00,2,1125
51592,20/12/2020,f,$249.00,$249.00,2,1125
51592,21/12/2020,f,$249.00,$249.00,2,1125
51592,22/12/2020,t,$259.00,$259.00,2,1125
51592,23/12/2020,t,$259.00,$259.00,2,1125
51592,24/12/2020,f,$259.00,$259.00,2,1125
51592,25/12/2020,f,$259.00,$259.00,2,1125
51592,26/12/2020,f,$259.00,$259.00,2,1125
