,id,latitude,longitude,STOP_NAME,LATITUDE,LONGITUDE,station_distance
0,12936,-37.85975502,144.97736909999998,Windsor Railway Station (Windsor),-37.856053,144.992035,1.4
1,47100,-37.81803739,145.0044164,Burnley Railway Station (Burnley),-37.82756,145.007555,1.1
2,50492,-37.86127469,144.9803786,Windsor Railway Station (Windsor),-37.856053,144.992035,1.2
3,51592,-37.81485579,144.9626716,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,0.5
4,66754,-37.8209164,144.99383930000005,Richmond Railway Station (Richmond),-37.824074,144.990164,0.5
5,68036,-37.80311551,144.9766031,Parliament Railway Station (Melbourne City),-37.811054,144.972911,0.9
6,68482,-37.75861028,144.9892774,Thornbury Railway Station (Thornbury),-37.755052,144.998572,0.9
7,69421,-37.7878413,145.0054789,Clifton Hill Railway Station (Clifton Hill),-37.788657,144.995417,0.9
8,71156,-37.76249518,145.0085686,Croxton Railway Station (Northcote),-37.764101,144.997056,1.0
9,74324,-37.80275304,144.9761608,Parliament Railway Station (Melbourne City),-37.811054,144.972911,1.0
10,80986,-37.81639403,145.00261740000005,West Richmond Railway Station (Richmond),-37.814949,144.991423,1.0
11,86369,-37.8697119,145.0066165,Balaclava Railway Station (Balaclava),-37.869488,144.993512,1.2
12,108032,-37.81639168,144.9665197,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,0.2
13,156482,-37.81565273,144.88869780000005,Yarraville Railway Station (Yarraville),-37.81585,144.889934,0.1
14,161404,-37.75650916,145.0399144,Ivanhoe Railway Station (Ivanhoe),-37.768897,145.045425,1.5
15,163077,-37.8795903,144.99165449999995,Ripponlea Railway Station (Ripponlea),-37.875906,144.995237,0.5
16,171291,-37.85290675,144.96049019999995,Prahran Railway Station (Prahran),-37.849518,144.98986,2.6
17,215787,-37.81860841,144.9899552,West Richmond Railway Station (Richmond),-37.814949,144.991423,0.4
18,227028,-37.81571435,144.9674823,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,0.3
19,240410,-37.80506804,144.9519044,Flagstaff Railway Station (Melbourne City),-37.811981,144.955654,0.8
20,244952,-37.80403059,144.9790829,Parliament Railway Station (Melbourne City),-37.811054,144.972911,1.0
21,247140,-37.81700475,144.97670480000005,Jolimont-MCG Railway Station (East Melbourne),-37.816527,144.984098,0.7
22,248235,-37.86392244,145.0173674,Armadale Railway Station (Armadale),-37.856452,145.019326,0.8
23,252381,-37.88603312,144.9882295,Elsternwick Railway Station (Elsternwick),-37.884753,145.000898,1.1
24,256186,-37.80176033,144.98473049999996,Collingwood Railway Station (Abbotsford),-37.804526,144.99375,0.9
25,257149,-37.76294155,144.9963986,Croxton Railway Station (Northcote),-37.764101,144.997056,0.1
26,257915,-37.8252529,144.961453,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,0.9
27,262020,-37.83275171,144.9860623,South Yarra Railway Station (South Yarra),-37.838449,144.992342,0.8
28,263871,-37.81694872,144.962951,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,0.4
29,267678,-37.85301738,144.99628140000004,Windsor Railway Station (Windsor),-37.856053,144.992035,0.5
30,268849,-37.83691697,144.99285369999996,South Yarra Railway Station (South Yarra),-37.838449,144.992342,0.2
31,280698,-37.87383759,144.9886066,Ripponlea Railway Station (Ripponlea),-37.875906,144.995237,0.6
32,283257,-37.80440177,144.9821314,Collingwood Railway Station (Abbotsford),-37.804526,144.99375,1.0
33,284210,-37.79849702,144.9788285,Victoria Park Railway Station (Abbotsford),-37.799158,144.994451,1.4
34,310594,-37.80523392,144.9951794,Collingwood Railway Station (Abbotsford),-37.804526,144.99375,0.1
35,313648,-37.81244723,144.9857561,Jolimont-MCG Railway Station (East Melbourne),-37.816527,144.984098,0.5
36,317351,-37.86559028,145.00471399999995,Balaclava Railway Station (Balaclava),-37.869488,144.993512,1.1
37,331605,-37.82348249,144.96179540000003,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,0.7
38,344458,-37.87161036,144.9844774,Balaclava Railway Station (Balaclava),-37.869488,144.993512,0.8
39,365832,-37.86711196,144.9938345,Balaclava Railway Station (Balaclava),-37.869488,144.993512,0.3
