,id,guests_included,station_distance,latitude,longitude
0,12936,2,1.4,-37.85975502,144.97736909999998
1,47100,1,1.1,-37.81803739,145.0044164
2,50492,1,1.2,-37.86127469,144.9803786
3,51592,2,0.5,-37.81485579,144.9626716
4,66754,2,0.5,-37.8209164,144.99383930000005
5,68036,1,0.9,-37.80311551,144.9766031
6,68482,3,0.9,-37.75861028,144.9892774
7,69421,2,0.9,-37.7878413,145.0054789
8,71156,2,1.0,-37.76249518,145.0085686
9,74324,1,1.0,-37.80275304,144.9761608
10,80986,2,1.0,-37.81639403,145.00261740000005
11,86369,1,1.2,-37.8697119,145.0066165
12,108032,2,0.2,-37.81639168,144.9665197
13,156482,2,0.1,-37.81565273,144.88869780000005
14,161404,2,1.5,-37.75650916,145.0399144
15,163077,2,0.5,-37.8795903,144.99165449999995
16,171291,2,2.6,-37.85290675,144.96049019999995
17,215787,1,0.4,-37.81860841,144.9899552
18,227028,2,0.3,-37.81571435,144.9674823
19,240410,2,0.8,-37.80506804,144.9519044
20,244952,2,1.0,-37.80403059,144.9790829
21,247140,4,0.7,-37.81700475,144.97670480000005
22,248235,8,0.8,-37.86392244,145.0173674
23,252381,2,1.1,-37.88603312,144.9882295
24,256186,2,0.9,-37.80176033,144.98473049999996
25,257149,4,0.1,-37.76294155,144.9963986
26,257915,4,0.9,-37.8252529,144.961453
27,262020,2,0.8,-37.83275171,144.9860623
28,263871,2,0.4,-37.81694872,144.962951
29,267678,1,0.5,-37.85301738,144.99628140000004
30,268849,2,0.2,-37.83691697,144.99285369999996
31,280698,4,0.6,-37.87383759,144.9886066
32,283257,2,1.0,-37.80440177,144.9821314
33,284210,2,1.4,-37.79849702,144.9788285
34,310594,1,0.1,-37.80523392,144.9951794
35,313648,2,0.5,-37.81244723,144.9857561
36,317351,4,1.1,-37.86559028,145.00471399999995
37,331605,6,0.7,-37.82348249,144.96179540000003
38,344458,4,0.8,-37.87161036,144.9844774
39,365832,1,0.3,-37.86711196,144.9938345
40,366848,2,0.0,-37.81132535,144.9727608
41,381690,1,0.7,-37.86393062,144.9982395
42,394600,1,0.6,-37.76910366,144.9530439
43,397285,4,1.8,-37.88128683,145.0225141
44,402105,6,0.4,-37.88162082,144.9983155
45,411059,2,0.6,-37.8164468,144.9605546
46,414093,6,1.2,-37.87052183,144.97964019999995
47,419490,4,0.3,-37.78484819,144.9275085
48,432113,2,1.0,-37.82690136,144.9680543
