,STOP_NAME,LATITUDE,LONGITUDE
0,Windsor Railway Station (Windsor),-37.856053,144.992035
1,Burnley Railway Station (Burnley),-37.82756,145.007555
2,Windsor Railway Station (Windsor),-37.856053,144.992035
3,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
4,Richmond Railway Station (Richmond),-37.824074,144.990164
5,Parliament Railway Station (Melbourne City),-37.811054,144.972911
6,Thornbury Railway Station (Thornbury),-37.755052,144.998572
7,Clifton Hill Railway Station (Clifton Hill),-37.788657,144.995417
8,Croxton Railway Station (Northcote),-37.764101,144.997056
9,Parliament Railway Station (Melbourne City),-37.811054,144.972911
10,West Richmond Railway Station (Richmond),-37.814949,144.991423
11,Balaclava Railway Station (Balaclava),-37.869488,144.993512
12,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
13,Yarraville Railway Station (Yarraville),-37.81585,144.889934
14,Ivanhoe Railway Station (Ivanhoe),-37.768897,145.045425
15,Ripponlea Railway Station (Ripponlea),-37.875906,144.995237
16,Prahran Railway Station (Prahran),-37.849518,144.98986
17,West Richmond Railway Station (Richmond),-37.814949,144.991423
18,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
19,Flagstaff Railway Station (Melbourne City),-37.811981,144.955654
20,Parliament Railway Station (Melbourne City),-37.811054,144.972911
21,Jolimont-MCG Railway Station (East Melbourne),-37.816527,144.984098
22,Armadale Railway Station (Armadale),-37.856452,145.019326
23,Elsternwick Railway Station (Elsternwick),-37.884753,145.000898
24,Collingwood Railway Station (Abbotsford),-37.804526,144.99375
25,Croxton Railway Station (Northcote),-37.764101,144.997056
26,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
27,South Yarra Railway Station (South Yarra),-37.838449,144.992342
28,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
29,Windsor Railway Station (Windsor),-37.856053,144.992035
30,South Yarra Railway Station (South Yarra),-37.838449,144.992342
31,Ripponlea Railway Station (Ripponlea),-37.875906,144.995237
32,Collingwood Railway Station (Abbotsford),-37.804526,144.99375
33,Victoria Park Railway Station (Abbotsford),-37.799158,144.994451
34,Collingwood Railway Station (Abbotsford),-37.804526,144.99375
35,Jolimont-MCG Railway Station (East Melbourne),-37.816527,144.984098
36,Balaclava Railway Station (Balaclava),-37.869488,144.993512
37,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
38,Balaclava Railway Station (Balaclava),-37.869488,144.993512
39,Balaclava Railway Station (Balaclava),-37.869488,144.993512
40,Parliament Railway Station (Melbourne City),-37.811054,144.972911
41,Balaclava Railway Station (Balaclava),-37.869488,144.993512
42,Brunswick Railway Station (Brunswick),-37.767721,144.959587
43,Malvern Railway Station (Malvern),-37.866253,145.029294
44,Elsternwick Railway Station (Elsternwick),-37.884753,145.000898
45,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
46,Balaclava Railway Station (Balaclava),-37.869488,144.993512
47,Newmarket Railway Station (Flemington),-37.787328,144.928978
48,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
49,Camberwell Railway Station (Camberwell),-37.826567,145.058697
50,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
51,Balaclava Railway Station (Balaclava),-37.869488,144.993512
52,Balaclava Railway Station (Balaclava),-37.869488,144.993512
53,Balaclava Railway Station (Balaclava),-37.869488,144.993512
54,Prahran Railway Station (Prahran),-37.849518,144.98986
55,Balaclava Railway Station (Balaclava),-37.869488,144.993512
56,Caulfield Railway Station (Caulfield East),-37.877459,145.042525
57,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411
58,Burnley Railway Station (Burnley),-37.82756,145.007555
59,West Footscray Railway Station (West Footscray),-37.801803,144.883985
60,Middle Brighton Railway Station (Brighton),-37.915134,144.996299
61,Clifton Hill Railway Station (Clifton Hill),-37.788657,144.995417
62,Balaclava Railway Station (Balaclava),-37.869488,144.993512
63,Parliament Railway Station (Melbourne City),-37.811054,144.972911
